,year,data-year,cfips,county,state,microbusiness_density,pct_house_price_gt1mill,pct_house_price_500k_1mill,pct_house_price_250k_500k,pct_house_price_100k_250k,pct_housing_vacant,pct_housing_occupant_ratio_lt1,pct_housing_grapi_gt35,total_population,old_age_dependency_ratio,child_dependency_ratio,median_age,sex_ratio,pct_moved_from_abroad,pct_moved_outside_state,pct_moved_within_state,pct_moved_within_county,pct_households_married,avg_family_size,pct_unmarried_same_sex_households,pct_housing_owner_occupied,pct_divorced,pct_never_married,pct_k12_enrollment,pct_k12_public_students,pct_college_public_students,pct_college_enrollment,pct_with_scieng_degree,pct_with_libarts_degree,pct_with_business_degree,pct_multilingual,pct_below_poverty_level,pct_unemployed,pct_occupation_mbsa,pct_in_finance_industry,pct_in_arts_industry,pct_in_public_admin_industry,pct_employed_at_self_employed,pct_employed_at_non_profit,pct_employed_at_government,pct_housing_single_detached,pct_broadband,pct_college,pct_in_it_industry,median_hh_inc
7395,2021,2019,22029,Concordia Parish,Louisiana,1.4162629916666667,0.0,0.0,1.5267175572519085,20.80152671755725,25.5,98.5,51.9,19778,28.5,40.1,37.7,103.3,1.1,1.9,5.0,5.5,39.37447640323931,3.21,69.3,,11.2,35.4,98.5858585858586,95.8,87.5,28.6,11.6,34.3,19.8,2.8,25.0,5.0,26.7,5.060388319828772,6.512765632166335,11.25210212505733,8.1,4.1,20.1,68.8,64.2,9.8,0.2,32500.0
7396,2021,2019,22031,De Soto Parish,Louisiana,1.6921582916666666,0.0,0.0,0.0,42.241379310344826,17.1,98.0,34.7,27289,29.6,42.1,39.3,95.0,0.2,0.6,4.4,5.1,43.07365308197024,3.07,60.0,,12.2,31.2,97.34226009332522,97.3,89.1,17.0,22.1,21.0,13.5,2.1,22.0,10.6,28.5,4.328924243825734,7.66811580797336,4.754416797706041,6.0,6.5,16.6,59.5,68.2,9.4,0.5,46006.0
7397,2021,2019,22033,East Baton Rouge Parish,Louisiana,5.9900592999999995,3.8207200587803087,2.6083761939750185,19.91182953710507,46.656869948567234,15.4,97.4,46.1,443763,21.6,36.0,34.0,91.7,0.4,2.0,3.2,10.8,38.41711997858177,3.44,70.2,,11.0,42.7,97.53256130411842,76.0,87.2,53.3,33.6,22.6,19.8,8.3,18.0,6.4,39.0,5.748630455716149,10.55643351778219,5.791939846021296,8.6,6.5,16.8,67.2,83.6,21.7,2.1,54948.0
7398,2021,2019,22035,East Carroll Parish,Louisiana,0.57071748,0.0,0.0,22.0,46.0,29.5,94.1,46.3,7096,20.6,26.3,33.9,154.6,0.2,2.2,21.4,3.4,30.387825233186057,2.9,69.8,,11.6,54.0,97.36180904522612,81.9,97.0,6.3,25.3,26.0,25.5,2.3,44.6,7.5,34.4,6.696100073583517,3.7527593818984544,10.816777041942604,11.4,3.5,18.0,68.8,40.2,6.7,0.0,22346.0
7399,2021,2019,22037,East Feliciana Parish,Louisiana,1.8050560666666666,0.0,22.377622377622377,26.573426573426573,48.25174825174825,18.0,94.5,33.1,19371,26.3,28.1,42.9,125.6,0.1,0.9,7.6,2.0,45.79680988647794,2.7,63.5,,11.3,37.1,98.53564547206166,76.9,78.8,17.3,26.8,21.9,19.6,2.8,17.5,5.6,27.5,4.936942479237158,6.167333128268225,7.720701322669949,6.6,5.0,22.5,62.8,63.4,9.2,0.7,51803.0
7400,2021,2019,22039,Evangeline Parish,Louisiana,1.0530663583333333,0.0,0.0,27.692307692307693,30.76923076923077,19.1,97.2,39.5,33589,25.2,41.5,35.7,105.2,0.8,0.6,4.2,8.0,41.6036805783766,3.31,77.1,,12.0,35.1,97.63740771123872,87.0,69.9,15.5,20.1,18.1,7.3,18.9,28.7,12.9,26.4,3.79045996592845,7.623509369676321,3.0749574105621806,11.6,4.5,13.0,76.8,66.3,8.7,0.9,31965.0
7401,2021,2019,22041,Franklin Parish,Louisiana,1.6482119583333334,0.0,0.0,43.01075268817204,34.40860215053764,20.3,98.1,60.9,20238,31.0,44.8,38.4,95.6,0.0,0.4,3.1,4.8,43.51340428398222,3.15,68.6,,10.8,30.4,98.00266311584554,82.8,88.0,19.2,22.9,17.8,11.4,1.0,29.0,9.3,28.7,4.414361389052384,6.4008240141259565,7.151265450264861,9.2,5.7,20.1,67.7,51.6,7.8,0.6,35282.0
7402,2021,2019,22043,Grant Parish,Louisiana,0.9636548149999999,0.0,6.466165413533835,19.398496240601503,33.23308270676692,25.2,98.6,36.5,22340,22.7,32.0,38.1,129.9,0.4,3.0,3.5,2.8,49.49205894977823,3.47,70.7,,13.6,35.0,93.27581077060398,89.6,78.2,22.0,28.3,19.0,16.2,6.5,18.8,4.8,22.8,2.853713828510468,8.22776370182691,8.481130817442326,7.0,3.2,20.7,70.1,64.0,6.0,1.7,42505.0
7403,2021,2019,22045,Iberia Parish,Louisiana,2.1090757916666667,0.0,0.0,4.067796610169491,4.745762711864407,14.4,96.5,40.9,71887,24.4,44.3,36.5,95.7,0.3,0.6,3.2,9.5,46.05866177818515,3.21,68.7,,10.3,35.5,97.92780259207731,87.8,90.0,24.4,26.0,17.0,18.4,10.3,22.1,9.3,26.9,4.654167218762422,9.778720021200476,3.0243805485623425,10.4,4.8,11.4,68.0,76.5,9.6,0.9,46861.0
7404,2021,2019,22047,Iberville Parish,Louisiana,1.400638683333333,0.0,6.3559322033898304,8.47457627118644,48.30508474576271,18.6,97.5,41.6,32822,23.8,33.2,38.4,101.5,0.0,1.6,7.4,3.9,40.75025222415849,3.36,74.8,,13.1,38.2,95.7467659741278,83.6,80.6,26.7,27.4,22.0,18.0,3.6,18.2,8.0,30.7,3.5169988276670576,6.760453302071122,9.785072293864792,6.7,4.5,22.5,72.5,74.0,10.1,0.5,50161.0
7405,2021,2019,22049,Jackson Parish,Louisiana,0.8849912,0.0,39.70588235294117,0.0,0.0,24.2,98.3,44.3,15879,34.3,36.5,40.9,102.9,0.2,0.5,6.8,5.7,48.01540780438788,3.01,73.4,,11.4,30.7,98.48605577689244,90.3,94.1,22.1,27.2,17.7,22.2,2.5,22.8,4.7,30.3,3.759669005216765,4.497211728728188,6.565929123943155,8.9,3.5,23.5,72.4,71.7,9.7,0.4,39139.0
7406,2021,2019,22051,Jefferson Parish,Louisiana,5.064783408333334,3.2850241545893724,1.1594202898550725,24.97584541062802,60.0,10.1,97.4,43.8,434850,27.1,36.0,39.4,94.0,0.5,1.6,2.6,6.4,42.496990298137526,3.24,71.2,,12.2,34.6,97.55607435207897,70.8,67.9,34.6,29.7,22.4,23.9,17.8,15.5,5.3,34.0,6.451444367394629,12.477795404242384,4.69170046831511,11.0,6.8,11.6,67.3,78.0,17.8,1.4,54032.0
7407,2021,2019,22053,Jefferson Davis Parish,Louisiana,1.5727829833333333,0.0,24.210526315789476,0.0,25.26315789473684,15.8,95.9,41.2,31441,27.5,43.5,37.8,97.9,0.0,0.4,4.5,6.1,48.96810506566604,3.22,74.5,,11.6,29.2,97.13740458015268,89.5,88.0,28.6,22.6,19.5,14.0,7.4,19.1,8.1,27.5,3.221607549625773,10.462089163683697,5.800520663846404,10.6,3.8,18.8,73.9,69.5,10.8,0.6,42105.0
7408,2021,2019,22055,Lafayette Parish,Louisiana,6.461484308333333,0.0,3.149606299212598,26.83222289521502,44.94245911568746,10.7,97.7,40.0,241973,20.0,37.4,35.2,95.2,0.3,1.7,4.3,10.1,44.41628524300056,3.22,70.6,,11.7,36.9,95.92986236959396,77.1,90.5,48.7,25.8,22.1,23.7,10.1,17.3,5.0,37.4,5.017427455591484,11.574350144878848,3.376307059169361,13.6,5.6,12.1,68.2,85.0,22.8,1.6,56999.0
7409,2021,2019,22057,Lafourche Parish,Louisiana,1.842295475,9.34065934065934,0.0,10.164835164835164,54.670329670329664,10.3,98.1,37.4,98108,24.4,37.9,37.8,96.6,0.3,0.8,2.9,6.8,51.6980620680309,3.1,74.8,,10.3,29.9,96.11124488321695,83.4,85.3,36.3,25.2,17.0,16.2,13.9,15.6,6.2,29.5,4.456921050807513,6.968415702040157,3.1930870358817955,9.5,5.6,11.6,73.7,77.5,11.6,1.4,55506.0
7410,2021,2019,22059,LaSalle Parish,Louisiana,0.9240620916666668,4.423868312757202,0.3086419753086419,9.25925925925926,10.08230452674897,28.3,97.4,49.5,14936,27.9,39.3,38.8,108.8,0.1,0.8,3.3,6.0,54.09223099293726,3.29,72.8,,12.2,29.4,98.4036488027366,85.8,97.0,9.8,25.3,26.2,6.5,1.9,20.0,5.6,28.8,3.206222728135079,5.482830582432176,6.241699867197875,9.6,3.4,17.6,72.7,74.6,10.3,0.3,42104.0
7411,2021,2019,22061,Lincoln Parish,Louisiana,2.6174576750000003,0.0,5.294117647058823,0.0,62.94117647058823,12.5,97.5,55.3,47246,20.2,30.3,28.3,94.6,0.5,2.3,5.3,13.9,36.308717253839205,3.09,60.0,,7.9,48.7,97.48529411764706,89.3,96.7,67.3,28.2,26.4,18.7,4.9,30.3,4.6,35.3,5.520292363916138,14.14695133679554,4.255626081938835,8.4,5.7,21.8,59.1,82.6,21.2,0.6,35467.0
7412,2021,2019,22063,Livingston Parish,Louisiana,3.2668220416666665,0.0,0.0,11.239669421487603,69.66942148760332,14.7,97.6,33.0,138928,21.1,42.3,36.6,96.5,0.2,0.6,3.1,5.6,52.46230117744267,3.36,71.2,,13.6,27.1,96.5675999401108,91.7,75.4,32.1,23.8,25.0,18.7,4.3,12.4,4.3,31.9,5.920329238792372,7.395306462253778,5.238603876723948,9.5,4.7,15.1,70.8,80.5,14.2,1.6,63389.0
7413,2021,2019,22065,Madison Parish,Louisiana,0.5659572924999999,0.0,0.0,5.357142857142857,62.5,25.0,94.1,45.7,11306,22.3,38.5,35.2,99.2,0.1,1.1,6.4,4.8,29.90605427974948,3.07,75.5,,10.2,49.0,92.47083775185578,81.7,87.2,6.4,17.5,21.1,14.1,3.1,36.4,8.7,26.2,3.2513181019332165,11.950790861159929,11.247803163444638,11.7,3.5,23.7,75.5,50.7,8.2,0.0,30350.0
7414,2021,2019,22067,Morehouse Parish,Louisiana,0.9064795183333333,0.0,0.0,0.6593406593406593,18.021978021978025,23.2,97.7,51.1,25610,31.7,42.4,39.9,92.5,0.0,0.5,1.6,5.3,42.70448006576243,3.28,74.9,,9.4,37.0,87.2,87.1,85.2,24.0,18.2,24.7,21.1,1.0,28.3,5.8,23.6,6.824346316588911,8.158836931756538,4.339806878593903,7.6,5.7,9.4,73.9,53.0,10.6,2.4,32929.0
7415,2021,2019,22069,Natchitoches Parish,Louisiana,1.76684635,0.0,0.0,0.0,73.91304347826086,23.4,99.3,53.8,38769,26.7,39.8,33.7,91.9,0.2,3.4,3.8,4.9,35.41851422334402,3.64,64.4,,7.0,48.8,95.99115696389092,88.6,78.9,62.6,23.4,23.9,15.0,2.3,32.3,13.8,30.1,4.666830991701586,7.460356585325774,4.987264809793772,7.8,4.9,16.2,58.5,59.8,11.4,1.1,28567.0
7416,2021,2019,22071,Orleans Parish,Louisiana,7.2479242500000005,2.910882221227049,14.375279892521272,25.97402597402597,39.67756381549485,19.8,98.6,52.3,390845,21.5,30.5,36.8,90.3,0.6,3.0,2.6,8.2,26.922551830398067,3.66,58.1,,12.8,49.2,97.46718899499936,79.5,51.5,50.2,33.2,30.1,17.7,8.3,23.7,7.9,43.1,5.260121006962571,17.26629774746803,5.393107768734922,11.3,11.8,14.0,48.5,73.4,21.2,1.8,41604.0
7417,2021,2019,22073,Ouachita Parish,Louisiana,3.3498914,0.0,0.7220216606498195,27.72563176895307,34.8014440433213,17.3,97.6,46.4,155494,23.9,41.5,35.7,92.2,0.3,1.2,2.5,8.8,40.54034938821699,3.39,69.4,,11.5,38.0,95.53973146278386,86.6,89.7,39.6,26.4,21.9,21.4,3.0,24.7,6.2,34.9,6.542936549060248,9.43520655706816,4.2598960541397775,8.0,6.6,13.4,67.8,71.7,16.2,5.0,41121.0
7418,2021,2019,22075,Plaquemines Parish,Louisiana,3.236471241666667,0.0,10.476190476190476,0.0,48.57142857142857,12.3,97.7,33.1,23338,21.4,42.9,36.5,101.3,0.3,4.8,2.6,3.4,50.386814665321225,2.96,62.4,,11.7,26.6,98.91352549889136,81.7,59.4,23.8,22.5,24.4,22.1,10.4,18.2,3.9,33.8,4.5205903602022905,10.114562906388688,8.401279801837134,9.5,6.3,17.8,53.2,81.0,13.8,0.8,57204.0
7419,2021,2019,22077,Pointe Coupee Parish,Louisiana,1.5488924,0.0,7.368421052631578,0.0,17.894736842105264,22.7,97.4,47.1,22016,35.1,38.7,43.1,92.4,0.5,0.1,4.7,4.5,40.49107142857143,3.08,76.0,,12.1,33.1,95.7801221543587,70.4,79.8,35.1,29.4,19.4,19.2,4.0,20.9,7.7,25.8,5.227882037533512,7.841823056300267,6.825290437890974,7.0,4.8,17.1,74.9,70.7,11.5,0.8,41480.0
7420,2021,2019,22079,Rapides Parish,Louisiana,2.787467375,0.249500998003992,0.5738522954091816,15.094810379241515,48.727544910179645,16.6,97.8,43.6,130970,26.8,42.1,37.4,93.8,0.1,1.9,3.3,8.7,42.37749546279492,3.19,70.3,,13.2,33.1,96.63957552532952,86.2,72.5,29.4,25.2,21.1,18.6,5.2,19.6,6.4,33.9,4.318888010443288,9.96708893342404,8.286602070271561,8.3,7.1,22.5,68.2,78.3,13.0,1.0,47269.0
7421,2021,2019,22081,Red River Parish,Louisiana,1.0332817225,0.0,0.0,0.0,33.33333333333333,20.0,98.5,38.1,8565,33.1,43.4,39.4,88.6,0.2,0.1,3.7,4.9,43.0011862396204,3.37,62.9,,11.4,33.0,97.49839640795382,89.9,80.7,38.2,8.8,31.2,17.0,0.9,25.3,6.7,20.8,5.579665220086795,5.517668939863609,8.586484810911346,8.6,6.5,22.7,61.2,66.2,8.4,0.0,33816.0
7422,2021,2019,22083,Richland Parish,Louisiana,1.1899399583333332,0.0,0.0,24.581005586592177,25.13966480446928,17.1,97.3,41.8,20350,29.0,39.9,38.8,94.9,0.0,1.3,3.1,6.1,41.305805067703446,3.25,72.4,,13.1,33.5,94.71613265879708,93.2,90.3,18.2,23.2,22.7,11.6,2.7,30.5,5.5,25.9,5.031690596300608,8.304229724485836,4.3590738584917865,7.6,5.5,15.7,71.4,47.8,7.2,1.1,34029.0
7423,2021,2019,22085,Sabine Parish,Louisiana,0.9863387966666667,0.0,1.5810276679841897,15.810276679841898,32.015810276679844,39.2,97.9,45.0,23991,35.8,42.2,41.1,97.7,0.2,0.8,2.0,7.2,48.02358593579384,3.21,54.6,,11.9,29.0,97.117202268431,89.8,83.8,16.3,22.8,19.1,15.6,2.6,18.6,9.6,29.9,3.7228796844181455,6.878698224852071,4.351577909270217,7.6,5.5,13.0,53.6,58.6,8.7,1.0,40336.0
7424,2021,2019,22087,St. Bernard Parish,Louisiana,2.805509575,0.0,0.0,14.414414414414416,53.15315315315316,11.9,96.6,52.0,46266,17.8,43.2,34.2,95.7,0.4,1.3,4.3,5.9,42.67244251916028,3.76,80.0,,13.3,38.0,95.745862490281,90.9,76.0,32.4,24.8,19.9,22.6,9.3,21.1,9.3,27.1,3.973264017823988,12.434353615192828,5.320672643361095,9.9,3.7,14.9,74.2,77.6,8.5,1.4,44661.0
7425,2021,2019,22089,St. Charles Parish,Louisiana,3.810679241666667,0.0,0.0,0.0,66.19718309859155,7.2,98.0,42.1,52773,20.9,39.5,37.9,100.1,0.2,1.9,3.2,3.0,53.60191546949823,3.13,81.2,,10.6,30.9,98.42002667487432,91.1,82.7,28.4,25.6,18.1,25.1,7.1,11.2,5.5,38.5,4.771640021261806,7.004129697019258,4.53857791225416,8.6,5.2,16.2,80.0,82.1,19.0,0.7,69019.0
7426,2021,2019,22091,St. Helena Parish,Louisiana,0.7417695458333333,0.0,0.0,0.0,41.17647058823529,27.6,99.6,31.5,10297,31.5,35.7,39.4,93.6,0.0,1.3,6.0,2.2,49.80554835364273,3.21,63.6,,9.8,32.9,97.56394640682096,82.5,95.9,37.4,22.2,32.0,11.4,3.7,18.4,17.0,34.9,5.561385099685205,4.643231899265477,7.633788037775446,11.3,5.4,19.2,63.5,64.4,10.0,0.0,43886.0
7427,2021,2019,22093,St. James Parish,Louisiana,1.1811223416666667,0.0,0.0,0.0,81.10236220472441,13.5,98.2,42.5,21308,27.7,38.0,39.2,90.3,0.1,1.3,1.7,3.5,49.72146651120612,3.25,74.4,,10.1,33.3,97.15626725565986,86.5,86.7,33.9,29.7,7.9,23.6,2.5,17.0,6.1,24.9,2.1434095680035354,7.037896365042537,5.778367031267264,7.1000000000000005,4.9,12.5,74.3,72.1,11.7,0.5,51603.0
7428,2021,2019,22095,St. John the Baptist Parish,Louisiana,2.6676813833333335,0.0,0.0,0.0,67.5257731958763,14.1,97.4,40.9,43242,22.3,40.3,36.8,96.2,0.2,2.0,3.6,5.1,45.677799607072686,3.27,81.8,,9.9,36.6,99.3907856326945,80.2,84.9,20.7,32.4,16.3,18.9,6.8,17.4,6.7,30.8,5.460678895214,9.176681425258275,5.102255956145899,6.7,4.4,14.9,81.1,75.1,11.0,1.5,57429.0
7429,2021,2019,22097,St. Landry Parish,Louisiana,1.7904095166666665,0.0,4.140786749482402,0.0,64.59627329192547,17.4,96.1,43.4,83172,27.5,46.7,36.7,93.3,0.1,0.4,2.6,6.9,42.95227160898803,3.35,70.3,,10.2,35.2,96.85277932356396,81.9,67.2,20.0,22.6,16.7,14.3,8.0,26.2,5.9,29.0,4.830670926517572,7.926517571884983,4.396166134185304,8.8,3.8,12.5,69.8,62.6,10.0,1.6,36403.0
7430,2021,2019,22099,St. Martin Parish,Louisiana,2.049677491666667,0.0,0.0,0.0,8.181818181818182,15.5,95.1,39.3,53732,24.1,39.9,37.7,96.9,0.1,0.3,2.6,5.3,49.248063193073065,3.2,69.0,,10.0,33.9,98.53788687299894,78.6,83.8,20.9,27.4,18.4,17.5,16.4,18.9,7.8,25.0,5.089688079879827,6.971812317752055,4.833436423080322,11.1,2.9,14.7,68.5,75.5,11.0,0.9,48656.0
7431,2021,2019,22101,St. Mary Parish,Louisiana,1.6817691416666667,0.0,0.0,6.956521739130435,51.8840579710145,15.5,98.4,38.3,50968,26.9,40.6,39.0,97.9,0.5,0.5,4.3,8.3,37.85757453666398,3.49,71.6,,9.8,41.4,97.19171101800475,90.1,87.9,25.6,28.6,19.4,18.1,8.5,19.7,8.7,24.5,3.900083090984628,10.303282093892811,4.403822185292896,7.5,4.6,12.6,70.9,72.9,7.0,0.9,40485.0
7432,2021,2019,22103,St. Tammany Parish,Louisiana,7.6652573,0.0,15.513009327442315,33.0387825233186,42.61168384879725,9.7,98.4,46.1,255155,27.5,40.5,40.2,94.3,0.1,1.9,3.0,7.3,53.20345947806631,3.28,81.7,,12.2,28.3,97.5812219597304,76.8,80.0,32.3,29.1,21.2,23.1,6.6,11.5,5.5,41.0,6.082875788151631,10.352260287341204,5.390405553339726,12.7,6.7,13.2,79.5,86.4,21.9,1.8,68905.0
7433,2021,2019,22105,Tangipahoa Parish,Louisiana,3.6988890583333336,0.0,2.763819095477387,40.7035175879397,35.678391959798994,14.0,97.3,48.4,132057,22.8,40.0,35.3,93.9,0.1,1.1,4.7,9.0,44.42927075235834,3.32,67.3,,12.1,35.1,95.8002616659398,82.3,92.7,46.6,21.7,26.0,19.3,4.3,21.4,7.2,30.7,3.933449905645678,11.942314018109103,5.079551946815325,8.5,6.7,14.9,66.2,78.4,13.9,1.2,47832.0
7434,2021,2019,22107,Tensas Parish,Louisiana,2.2079976833333332,0.0,0.0,93.16239316239316,0.0,47.8,96.8,43.5,4561,45.3,45.4,43.4,97.1,0.0,1.7,1.4,3.7,37.55580357142857,3.36,88.3,,10.2,38.0,99.61734693877553,91.1,70.8,22.0,33.0,19.1,14.7,2.6,34.7,16.3,28.7,0.3753753753753753,3.978978978978979,18.91891891891892,5.5,3.2,30.9,85.6,47.2,8.3,1.5,27500.0
7435,2021,2019,22109,Terrebonne Parish,Louisiana,2.4176473916666668,1.0752688172043012,8.124253285543608,24.133811230585422,49.34289127837515,12.0,97.8,44.7,112054,22.9,42.1,35.8,97.6,0.4,1.2,3.3,7.1,46.39497648353847,3.35,70.2,,12.5,32.4,96.8460200927357,79.6,85.9,22.5,25.3,18.7,22.9,9.8,20.6,6.3,28.8,3.8750884111708856,9.087596716462697,3.7743532588893416,9.4,4.6,11.6,69.2,75.6,11.0,0.8,48747.0
7436,2021,2019,22111,Union Parish,Louisiana,1.2132345833333333,0.0,0.0,6.093189964157706,25.089605734767023,35.9,97.7,33.7,22353,35.1,38.3,42.1,99.5,0.1,0.9,2.8,3.6,49.15589554207333,3.74,66.5,,10.9,33.1,92.7377363661277,88.1,98.1,33.8,20.1,21.8,17.3,2.6,17.3,4.5,26.6,4.547563805104408,5.533642691415313,3.596287703016241,10.7,7.6,12.2,66.4,54.7,12.9,5.1,44100.0
7437,2021,2019,22113,Vermilion Parish,Louisiana,1.6250711500000001,0.0,0.0,0.0,42.91845493562232,16.9,96.6,40.0,59865,25.4,43.2,38.0,93.6,0.1,1.7,3.3,7.8,50.69727429140632,3.21,73.5,,12.5,27.9,98.87431306505938,85.8,81.3,27.2,20.7,15.9,19.3,15.7,17.6,7.4,29.2,4.714344430743937,7.16399506781751,6.029593094944513,12.5,4.5,14.6,72.5,80.0,9.9,1.0,51945.0
7438,2021,2019,22115,Vernon Parish,Louisiana,1.5849330583333334,0.0,0.0,12.93103448275862,31.89655172413793,20.3,98.7,33.2,49646,18.6,39.7,30.4,112.3,1.6,8.4,2.6,6.6,54.84855334538879,3.25,58.7,,10.8,27.9,95.0937950937951,93.2,87.2,16.7,33.6,25.0,14.9,8.1,17.3,8.6,31.3,4.2105263157894735,8.623011015911873,12.74173806609547,7.8,4.2,29.1,51.6,74.9,12.6,1.2,49141.0
7439,2021,2019,22117,Washington Parish,Louisiana,1.3832945666666667,0.0,0.0,0.0,1.809954751131222,19.1,97.4,36.4,46435,30.0,41.2,39.4,97.5,0.1,2.0,3.0,10.7,42.25288139442458,3.06,72.8,,13.7,32.1,96.38657520823126,85.7,84.8,20.2,20.1,27.6,15.8,4.3,24.4,9.8,24.9,4.271241077596131,8.86483997236933,6.637117200092102,8.0,4.0,16.3,72.0,67.3,7.7,1.5,37570.0
7440,2021,2019,22119,Webster Parish,Louisiana,1.6084856499999998,0.0,3.3794162826420893,0.0,24.270353302611365,15.9,97.6,65.5,39242,33.2,38.9,41.4,95.5,0.1,1.0,2.7,4.1,41.447646667875055,2.96,70.8,,11.2,33.5,95.60608388385312,91.8,83.5,28.7,20.2,18.9,14.9,2.0,29.8,5.2,27.7,3.844305622296973,6.720670007551314,6.9472094460081,14.2,4.0,16.4,69.1,49.4,10.8,0.7,28951.0
7441,2021,2019,22121,West Baton Rouge Parish,Louisiana,2.4378986166666667,0.0,0.0,0.0,100.0,12.2,98.3,43.6,26101,21.2,38.1,36.3,95.3,0.0,1.6,5.4,5.3,51.477755885098,2.99,73.2,,9.0,35.0,99.37388193202146,83.5,86.2,28.5,31.3,21.0,15.1,3.2,12.5,4.5,35.2,4.710578842315369,9.524950099800398,6.954091816367265,8.2,5.3,17.3,72.4,82.9,14.9,0.4,65385.0
7442,2021,2019,22123,West Carroll Parish,Louisiana,0.5732957633333334,0.0,0.0,0.0,13.83399209486166,20.8,99.6,33.2,11041,32.1,39.1,40.3,102.7,0.1,0.7,1.5,3.7,45.56807051909893,3.27,70.3,,14.0,26.7,92.14360041623308,97.2,90.9,18.7,18.4,22.2,9.5,4.7,21.9,10.2,35.3,5.972922750199097,6.211839660207062,6.610034510220335,10.4,4.4,14.6,69.8,42.3,8.2,1.5,38500.0
7443,2021,2019,22125,West Feliciana Parish,Louisiana,1.8400196333333334,36.7816091954023,0.0,0.0,63.2183908045977,29.0,99.3,37.6,15428,20.2,23.4,41.4,177.8,0.0,0.9,5.2,2.6,47.09227190488499,4.12,69.9,,15.2,42.9,95.26847421584264,94.7,90.3,40.3,26.8,27.1,11.3,3.3,12.0,8.2,34.0,3.955643826547501,10.311155246607084,12.13174445547832,10.5,3.1,29.8,69.1,71.5,17.7,0.6,59637.0
7444,2021,2019,22127,Winn Parish,Louisiana,0.6478468425,0.0,0.0,0.0,62.16216216216216,25.1,99.0,44.3,14313,29.9,33.6,41.1,114.0,0.5,1.0,5.1,6.1,48.03939449206639,2.77,69.0,,11.8,30.1,98.47996315062184,81.5,52.5,16.1,23.5,21.0,18.5,1.8,18.7,4.9,29.9,2.5803966878490274,5.854034276911227,10.841517427305988,6.800000000000001,1.6,22.4,68.7,73.7,9.3,0.2,38353.0
7445,2021,2019,23001,Androscoggin County,Maine,3.6416804333333332,0.0,0.0,14.465408805031446,46.33123689727464,8.5,98.3,32.7,107602,28.4,35.8,41.0,95.5,0.4,1.9,3.8,9.6,45.54678939294324,2.82,61.3,,14.2,29.5,97.18475073313785,85.2,62.3,38.5,33.1,23.8,17.7,10.4,11.8,3.9,34.6,7.571509720924266,7.785901453099518,3.1883898631191245,8.6,13.0,10.4,59.8,81.7,15.2,1.8,53509.0
7446,2021,2019,23003,Aroostook County,Maine,3.2633842916666667,0.0,4.05727923627685,1.1933174224343674,20.52505966587112,26.1,98.6,36.7,67809,40.3,31.6,48.0,97.9,0.1,1.9,1.1,7.6,49.56294890906626,2.79,71.3,,12.2,25.1,96.647310178591,91.6,79.6,36.8,27.6,20.8,19.2,15.0,16.1,5.0,30.8,4.240867772784104,6.471124928192477,6.616429561044841,11.2,14.1,16.4,70.3,69.2,13.1,1.4,41123.0
7447,2021,2019,23005,Cumberland County,Maine,8.934824066666666,1.8295870360690012,7.7888133821223215,32.56664924202823,46.15786722425509,16.5,98.7,35.4,292307,28.2,29.8,42.2,94.2,0.4,3.0,2.4,8.2,48.10268227180797,2.94,68.9,,12.7,31.7,96.32526744157713,91.4,62.2,48.0,35.7,29.6,14.2,7.3,9.0,3.1,46.6,9.31461824782158,9.221410744617572,2.7134421163008886,12.5,14.1,10.4,63.7,87.2,29.2,2.7,73072.0
7448,2021,2019,23007,Franklin County,Maine,3.5251974333333336,0.0,2.476780185758514,17.3374613003096,33.126934984520126,46.6,98.8,25.8,29982,35.5,29.9,46.3,96.2,0.2,2.6,5.0,4.4,49.86495611073599,3.01,76.5,,14.9,27.3,96.06769537083126,90.6,93.0,52.2,31.2,24.3,12.1,2.0,11.5,5.8,30.3,4.953710100870526,10.688130440790385,4.442448528395744,13.1,13.4,15.0,75.4,77.5,15.6,0.9,51422.0
7449,2021,2019,23009,Hancock County,Maine,5.623265783333333,2.295081967213114,21.803278688524596,25.57377049180328,28.0327868852459,42.7,98.1,33.3,54601,41.0,29.4,48.8,93.4,0.3,2.0,2.9,5.2,51.30805967626051,2.72,77.6,,14.8,23.7,97.64588386360394,87.1,81.1,49.7,38.5,28.5,8.4,3.4,10.8,4.1,36.1,4.471693956971878,9.83185255892503,2.797562229238564,20.3,17.9,12.1,76.6,82.2,20.0,1.3,57178.0
7450,2021,2019,23011,Kennebec County,Maine,3.995319775,0.0,0.0,3.351206434316354,67.69436997319035,17.0,98.4,35.3,121753,31.7,31.7,44.4,95.3,0.2,1.9,3.5,8.1,45.99174743306784,2.8,66.8,,16.3,28.0,97.00497287522604,89.7,54.7,41.7,34.3,23.5,14.5,4.4,12.8,4.0,38.9,3.9093133147893697,7.057877274707597,8.57267334696203,10.8,13.2,19.0,65.4,81.9,17.2,1.5,55365.0
7451,2021,2019,23013,Knox County,Maine,7.403002075,0.0,2.1052631578947367,21.052631578947366,58.245614035087726,30.2,99.3,34.2,39759,42.1,31.3,48.4,99.4,0.1,2.2,2.6,6.0,49.11280846063455,2.79,76.6,,14.7,25.5,95.29780564263324,89.8,58.6,27.8,33.0,32.9,10.3,3.2,9.9,3.1,36.3,6.431753341008059,8.258671605185445,3.668852294909655,23.1,13.9,12.0,73.9,84.8,21.2,1.9,57751.0
